,날짜,행정구역,항목,미세먼지배출량
119,1999,경상남도,에너지산업 연소,839622.0
120,1999,경상남도,비산업 연소,157319.0
121,1999,경상남도,제조업 연소,107774.0
122,1999,경상남도,생산공정,30325.0
123,1999,경상남도,도로이동오염원,1527295.0
124,1999,경상남도,비도로이동오염원,570994.0
125,1999,경상남도,폐기물처리,2189.0
126,1999,제주특별자치도,배출원대분류 합계,484024.0
127,1999,제주특별자치도,에너지산업 연소,23497.0
128,1999,제주특별자치도,비산업 연소,62770.0
129,1999,제주특별자치도,제조업 연소,749.0
130,1999,제주특별자치도,생산공정,65.0
131,1999,제주특별자치도,도로이동오염원,275409.0
132,1999,제주특별자치도,비도로이동오염원,121486.0
133,1999,제주특별자치도,폐기물처리,49.0
134,1999,수도권,배출원대분류 합계,12729910.0
135,1999,수도권,에너지산업 연소,443379.0
136,1999,수도권,비산업 연소,964919.0
137,1999,수도권,제조업 연소,1814260.0
138,1999,수도권,생산공정,218510.0
139,1999,수도권,도로이동오염원,6974512.0
140,1999,수도권,비도로이동오염원,2297361.0
141,1999,수도권,폐기물처리,16969.0
142,1999,수도권 대기관리권역,배출원대분류 합계,11433167.0
143,1999,수도권 대기관리권역,에너지산업 연소,441917.0
144,1999,수도권 대기관리권역,비산업 연소,930039.0
145,1999,수도권 대기관리권역,제조업 연소,1630569.0
146,1999,수도권 대기관리권역,생산공정,176811.0
147,1999,수도권 대기관리권역,도로이동오염원,6129811.0
148,1999,수도권 대기관리권역,비도로이동오염원,2108184.0
149,1999,수도권 대기관리권역,폐기물처리,15836.0
150,2000,전국,배출원대분류 합계,61719112.0
151,2000,전국,에너지산업 연소,6606078.0
152,2000,전국,비산업 연소,2588758.0
153,2000,전국,제조업 연소,16894516.0
154,2000,전국,생산공정,6078981.0
155,2000,전국,도로이동오염원,21749233.0
156,2000,전국,비도로이동오염원,7732032.0
157,2000,전국,폐기물처리,69515.0
158,2000,서울특별시,배출원대분류 합계,3749690.0
159,2000,서울특별시,에너지산업 연소,16030.0
160,2000,서울특별시,비산업 연소,445216.0
161,2000,서울특별시,제조업 연소,6915.0
162,2000,서울특별시,도로이동오염원,2756995.0
163,2000,서울특별시,비도로이동오염원,521291.0
164,2000,서울특별시,폐기물처리,3243.0
165,2000,부산광역시,배출원대분류 합계,3051419.0
166,2000,부산광역시,에너지산업 연소,835378.0
167,2000,부산광역시,비산업 연소,130978.0
168,2000,부산광역시,제조업 연소,184647.0
169,2000,부산광역시,생산공정,38657.0
170,2000,부산광역시,도로이동오염원,1157013.0
171,2000,부산광역시,비도로이동오염원,700345.0
172,2000,부산광역시,폐기물처리,4400.0
173,2000,대구광역시,배출원대분류 합계,2003721.0
174,2000,대구광역시,에너지산업 연소,118245.0
175,2000,대구광역시,비산업 연소,134228.0
176,2000,대구광역시,제조업 연소,623364.0
177,2000,대구광역시,생산공정,922.0
178,2000,대구광역시,도로이동오염원,929135.0
179,2000,대구광역시,비도로이동오염원,195730.0
180,2000,대구광역시,폐기물처리,2098.0
181,2000,인천광역시,배출원대분류 합계,2118748.0
182,2000,인천광역시,에너지산업 연소,125110.0
183,2000,인천광역시,비산업 연소,76394.0
184,2000,인천광역시,제조업 연소,474616.0
185,2000,인천광역시,생산공정,210487.0
186,2000,인천광역시,도로이동오염원,837960.0
187,2000,인천광역시,비도로이동오염원,391811.0
188,2000,인천광역시,폐기물처리,2371.0
189,2000,광주광역시,배출원대분류 합계,635602.0
190,2000,광주광역시,비산업 연소,41836.0
191,2000,광주광역시,제조업 연소,3695.0
192,2000,광주광역시,생산공정,49.0
193,2000,광주광역시,도로이동오염원,470813.0
194,2000,광주광역시,비도로이동오염원,114538.0
195,2000,광주광역시,폐기물처리,4670.0
196,2000,대전광역시,배출원대분류 합계,837304.0
197,2000,대전광역시,에너지산업 연소,2839.0
198,2000,대전광역시,비산업 연소,47707.0
199,2000,대전광역시,제조업 연소,9377.0
200,2000,대전광역시,생산공정,43.0
201,2000,대전광역시,도로이동오염원,606115.0
202,2000,대전광역시,비도로이동오염원,166441.0
203,2000,대전광역시,폐기물처리,4781.0
204,2000,울산광역시,배출원대분류 합계,10213322.0
205,2000,울산광역시,에너지산업 연소,1621094.0
206,2000,울산광역시,비산업 연소,350137.0
207,2000,울산광역시,제조업 연소,6305689.0
208,2000,울산광역시,생산공정,1126191.0
209,2000,울산광역시,도로이동오염원,464654.0
210,2000,울산광역시,비도로이동오염원,343274.0
211,2000,울산광역시,폐기물처리,2284.0
212,2000,경기도,배출원대분류 합계,7585025.0
213,2000,경기도,에너지산업 연소,293127.0
214,2000,경기도,비산업 연소,335834.0
215,2000,경기도,제조업 연소,1119843.0
216,2000,경기도,생산공정,131782.0
217,2000,경기도,도로이동오염원,4440573.0
218,2000,경기도,비도로이동오염원,1247536.0
219,2000,경기도,폐기물처리,16331.0
220,2000,강원도,배출원대분류 합계,5441393.0
221,2000,강원도,에너지산업 연소,445077.0
222,2000,강원도,비산업 연소,128265.0
223,2000,강원도,제조업 연소,3630560.0
224,2000,강원도,생산공정,4584.0
225,2000,강원도,도로이동오염원,948136.0
226,2000,강원도,비도로이동오염원,284245.0
227,2000,강원도,폐기물처리,526.0
228,2000,충청북도,배출원대분류 합계,4495260.0
229,2000,충청북도,에너지산업 연소,589.0
230,2000,충청북도,비산업 연소,106687.0
231,2000,충청북도,제조업 연소,2512685.0
232,2000,충청북도,생산공정,79239.0
233,2000,충청북도,도로이동오염원,1410070.0
234,2000,충청북도,비도로이동오염원,382007.0
235,2000,충청북도,폐기물처리,3984.0
236,2000,충청남도,배출원대분류 합계,4087089.0
237,2000,충청남도,에너지산업 연소,1701610.0
238,2000,충청남도,비산업 연소,117868.0
239,2000,충청남도,제조업 연소,95563.0
240,2000,충청남도,생산공정,194236.0
241,2000,충청남도,도로이동오염원,1398270.0
242,2000,충청남도,비도로이동오염원,577224.0
243,2000,충청남도,폐기물처리,2319.0
244,2000,전라북도,배출원대분류 합계,1929440.0
245,2000,전라북도,에너지산업 연소,17413.0
246,2000,전라북도,비산업 연소,139817.0
247,2000,전라북도,제조업 연소,95254.0
248,2000,전라북도,생산공정,76875.0
249,2000,전라북도,도로이동오염원,1180601.0
250,2000,전라북도,비도로이동오염원,408358.0
251,2000,전라북도,폐기물처리,11123.0
252,2000,전라남도,배출원대분류 합계,4356945.0
253,2000,전라남도,에너지산업 연소,137783.0
254,2000,전라남도,비산업 연소,172945.0
255,2000,전라남도,제조업 연소,763759.0
256,2000,전라남도,생산공정,1193021.0
257,2000,전라남도,도로이동오염원,1289514.0
258,2000,전라남도,비도로이동오염원,796708.0
259,2000,전라남도,폐기물처리,3214.0
260,2000,경상북도,배출원대분류 합계,7150502.0
261,2000,경상북도,에너지산업 연소,155841.0
262,2000,경상북도,비산업 연소,165027.0
263,2000,경상북도,제조업 연소,981215.0
264,2000,경상북도,생산공정,2996006.0
265,2000,경상북도,도로이동오염원,2011667.0
266,2000,경상북도,비도로이동오염원,837277.0
267,2000,경상북도,폐기물처리,3469.0
268,2000,경상남도,배출원대분류 합계,3582771.0
269,2000,경상남도,에너지산업 연소,1106907.0
270,2000,경상남도,비산업 연소,136612.0
271,2000,경상남도,제조업 연소,86663.0
272,2000,경상남도,생산공정,26795.0
273,2000,경상남도,도로이동오염원,1580970.0
274,2000,경상남도,비도로이동오염원,640169.0
275,2000,경상남도,폐기물처리,4656.0
276,2000,제주특별자치도,배출원대분류 합계,480880.0
277,2000,제주특별자치도,에너지산업 연소,29036.0
278,2000,제주특별자치도,비산업 연소,59207.0
279,2000,제주특별자치도,제조업 연소,671.0
280,2000,제주특별자치도,생산공정,94.0
281,2000,제주특별자치도,도로이동오염원,266748.0
282,2000,제주특별자치도,비도로이동오염원,125079.0
283,2000,제주특별자치도,폐기물처리,46.0
284,2000,수도권,배출원대분류 합계,13453463.0
285,2000,수도권,에너지산업 연소,434267.0
286,2000,수도권,비산업 연소,857443.0
287,2000,수도권,제조업 연소,1601374.0
288,2000,수도권,생산공정,342270.0
289,2000,수도권,도로이동오염원,8035528.0
290,2000,수도권,비도로이동오염원,2160637.0
291,2000,수도권,폐기물처리,21945.0
292,2000,수도권 대기관리권역,배출원대분류 합계,12197934.0
293,2000,수도권 대기관리권역,에너지산업 연소,428636.0
294,2000,수도권 대기관리권역,비산업 연소,823363.0
295,2000,수도권 대기관리권역,제조업 연소,1431798.0
296,2000,수도권 대기관리권역,생산공정,278389.0
297,2000,수도권 대기관리권역,도로이동오염원,7261715.0
298,2000,수도권 대기관리권역,비도로이동오염원,1952573.0
299,2000,수도권 대기관리권역,폐기물처리,21460.0
300,2001,전국,배출원대분류 합계,67367821.0
301,2001,전국,에너지산업 연소,7262749.0
302,2001,전국,비산업 연소,2800317.0
303,2001,전국,제조업 연소,16687270.0
304,2001,전국,생산공정,6129016.0
305,2001,전국,도로이동오염원,26794686.0
306,2001,전국,비도로이동오염원,7630433.0
307,2001,전국,폐기물처리,63349.0
308,2001,서울특별시,배출원대분류 합계,4532622.0
309,2001,서울특별시,에너지산업 연소,17973.0
310,2001,서울특별시,비산업 연소,427087.0
311,2001,서울특별시,제조업 연소,9022.0
312,2001,서울특별시,도로이동오염원,3509098.0
313,2001,서울특별시,비도로이동오염원,566014.0
314,2001,서울특별시,폐기물처리,3428.0
315,2001,부산광역시,배출원대분류 합계,3551770.0
316,2001,부산광역시,에너지산업 연소,901592.0
317,2001,부산광역시,비산업 연소,151282.0
318,2001,부산광역시,제조업 연소,202875.0
319,2001,부산광역시,생산공정,28860.0
320,2001,부산광역시,도로이동오염원,1577308.0
321,2001,부산광역시,비도로이동오염원,687191.0
322,2001,부산광역시,폐기물처리,2662.0
323,2001,대구광역시,배출원대분류 합계,2313224.0
324,2001,대구광역시,에너지산업 연소,118922.0
325,2001,대구광역시,비산업 연소,169861.0
326,2001,대구광역시,제조업 연소,602551.0
327,2001,대구광역시,생산공정,2470.0
328,2001,대구광역시,도로이동오염원,1184001.0
329,2001,대구광역시,비도로이동오염원,233198.0
330,2001,대구광역시,폐기물처리,2222.0
331,2001,인천광역시,배출원대분류 합계,2514820.0
332,2001,인천광역시,에너지산업 연소,130561.0
333,2001,인천광역시,비산업 연소,59746.0
334,2001,인천광역시,제조업 연소,582483.0
335,2001,인천광역시,생산공정,119930.0
336,2001,인천광역시,도로이동오염원,1266508.0
337,2001,인천광역시,비도로이동오염원,353492.0
338,2001,인천광역시,폐기물처리,2099.0
339,2001,광주광역시,배출원대분류 합계,692086.0
340,2001,광주광역시,비산업 연소,40976.0
341,2001,광주광역시,제조업 연소,5722.0
342,2001,광주광역시,생산공정,3269.0
343,2001,광주광역시,도로이동오염원,547254.0
344,2001,광주광역시,비도로이동오염원,93389.0
345,2001,광주광역시,폐기물처리,1476.0
346,2001,대전광역시,배출원대분류 합계,929561.0
347,2001,대전광역시,에너지산업 연소,2815.0
348,2001,대전광역시,비산업 연소,47314.0
349,2001,대전광역시,제조업 연소,12225.0
350,2001,대전광역시,생산공정,1662.0
351,2001,대전광역시,도로이동오염원,693802.0
352,2001,대전광역시,비도로이동오염원,165752.0
353,2001,대전광역시,폐기물처리,5991.0
354,2001,울산광역시,배출원대분류 합계,10486765.0
355,2001,울산광역시,에너지산업 연소,1864267.0
356,2001,울산광역시,비산업 연소,348500.0
357,2001,울산광역시,제조업 연소,6283875.0
358,2001,울산광역시,생산공정,1024926.0
359,2001,울산광역시,도로이동오염원,622974.0
360,2001,울산광역시,비도로이동오염원,339424.0
361,2001,울산광역시,폐기물처리,2798.0
362,2001,경기도,배출원대분류 합계,8614364.0
363,2001,경기도,에너지산업 연소,349883.0
364,2001,경기도,비산업 연소,430912.0
365,2001,경기도,제조업 연소,1050850.0
366,2001,경기도,생산공정,122456.0
367,2001,경기도,도로이동오염원,5524983.0
368,2001,경기도,비도로이동오염원,1115789.0
369,2001,경기도,폐기물처리,19492.0
370,2001,강원도,배출원대분류 합계,5055893.0
371,2001,강원도,에너지산업 연소,433284.0
372,2001,강원도,비산업 연소,146011.0
373,2001,강원도,제조업 연소,3044315.0
374,2001,강원도,생산공정,3804.0
375,2001,강원도,도로이동오염원,1137572.0
376,2001,강원도,비도로이동오염원,290539.0
377,2001,강원도,폐기물처리,368.0
378,2001,충청북도,배출원대분류 합계,5013021.0
379,2001,충청북도,에너지산업 연소,1816.0
380,2001,충청북도,비산업 연소,158312.0
381,2001,충청북도,제조업 연소,2758137.0
382,2001,충청북도,생산공정,103661.0
383,2001,충청북도,도로이동오염원,1603820.0
384,2001,충청북도,비도로이동오염원,382869.0
385,2001,충청북도,폐기물처리,4406.0
386,2001,충청남도,배출원대분류 합계,4490176.0
387,2001,충청남도,에너지산업 연소,1809167.0
388,2001,충청남도,비산업 연소,110797.0
389,2001,충청남도,제조업 연소,340038.0
390,2001,충청남도,생산공정,175373.0
391,2001,충청남도,도로이동오염원,1467240.0
392,2001,충청남도,비도로이동오염원,584886.0
393,2001,충청남도,폐기물처리,2676.0
394,2001,전라북도,배출원대분류 합계,2370319.0
395,2001,전라북도,에너지산업 연소,14981.0
396,2001,전라북도,비산업 연소,154634.0
397,2001,전라북도,제조업 연소,251545.0
398,2001,전라북도,생산공정,127498.0
399,2001,전라북도,도로이동오염원,1435720.0
400,2001,전라북도,비도로이동오염원,380980.0
401,2001,전라북도,폐기물처리,4962.0
402,2001,전라남도,배출원대분류 합계,4848326.0
403,2001,전라남도,에너지산업 연소,192452.0
404,2001,전라남도,비산업 연소,180970.0
405,2001,전라남도,제조업 연소,522456.0
406,2001,전라남도,생산공정,1606549.0
407,2001,전라남도,도로이동오염원,1531698.0
408,2001,전라남도,비도로이동오염원,811499.0
409,2001,전라남도,폐기물처리,2702.0
410,2001,경상북도,배출원대분류 합계,7187845.0
411,2001,경상북도,에너지산업 연소,125050.0
412,2001,경상북도,비산업 연소,186615.0
413,2001,경상북도,제조업 연소,926948.0
414,2001,경상북도,생산공정,2791638.0
