네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 건강/취미
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 50대

"날짜","건강/취미"
"2022-05-13",43
"2022-05-14",50
"2022-05-15",46
"2022-05-16",60
"2022-05-17",46
"2022-05-18",59
"2022-05-19",47
"2022-05-20",49
"2022-05-21",45
"2022-05-22",43
"2022-05-23",39
"2022-05-24",54
"2022-05-25",68
"2022-05-26",59
"2022-05-27",51
"2022-05-28",60
"2022-05-29",41
"2022-05-30",51
"2022-05-31",41
"2022-06-01",58
"2022-06-02",59
"2022-06-03",45
"2022-06-04",29
"2022-06-05",38
"2022-06-06",49
"2022-06-07",47
"2022-06-08",43
"2022-06-09",29
"2022-06-10",44
"2022-06-11",41
"2022-06-12",46
"2022-06-13",62
"2022-06-14",51
"2022-06-15",51
"2022-06-16",57
"2022-06-17",56
"2022-06-18",57
"2022-06-19",62
"2022-06-20",71
"2022-06-21",59
"2022-06-22",55
"2022-06-23",60
"2022-06-24",54
"2022-06-25",56
"2022-06-26",59
"2022-06-27",47
"2022-06-28",50
"2022-06-29",61
"2022-06-30",34
"2022-07-01",51
"2022-07-02",51
"2022-07-03",53
"2022-07-04",55
"2022-07-05",38
"2022-07-06",56
"2022-07-07",53
"2022-07-08",37
"2022-07-09",3
